PREC_ID,PREC_NAME,COUNTY_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
08N,NORTH NEWLIN,1,782,1095,929,2184,201,4,11,71,0,322,13
10N,NORTH MELVILLE,1,1061,1229,1206,2479,451,6,17,73,1,446,23
103,MELVILLE 3,1,875,1227,1121,2389,308,10,18,65,0,406,27
03S,SOUTH BOONE,1,2256,2149,2452,4269,1158,16,53,220,0,978,163
124,BURLINGTON 4,1,660,532,589,1245,298,4,15,35,0,171,13
13,HAW RIVER,1,1558,916,999,1739,1096,4,25,118,0,472,19
06N,NORTH GRAHAM,1,1212,421,749,961,917,12,21,112,0,349,10
09N,NORTH THOMPSON,1,781,798,768,1523,444,5,10,40,0,302,23
10S1,SOUTH MELVILLE,1,2226,1612,2066,3329,1341,14,43,147,0,978,52
03C,CENTRAL BOONE,1,629,974,693,1871,156,2,10,52,0,171,34
03N,NORTH BOONE,1,1111,1068,1125,2600,262,2,32,54,0,307,47
03W,WEST BOONE,1,776,1136,1012,2220,282,12,14,50,0,321,25
07,ALBRIGHT,1,621,1531,931,2604,165,6,15,35,0,249,9
035,BOONE 5,1,1457,1518,1623,3394,482,5,46,78,0,544,49
UNVERIFIED,UNVERIFIED,1,7644,4626,4145,11248,3537,46,130,205,0,1181,68
126,BURLINGTON 6,1,484,701,519,1469,68,1,2,24,0,130,10
104,MELVILLE 4,1,868,497,812,1179,515,7,20,71,0,343,42
127,BURLINGTON 7,1,2333,609,1132,1222,2077,10,43,155,2,546,19
09S,SOUTH THOMPSON,1,1357,1616,1520,3260,460,14,29,123,1,565,41
12N,NORTH BURLINGTON,1,2179,276,773,653,1966,13,34,141,0,417,4
128,BURLINGTON 8,1,1054,343,615,750,865,3,28,60,2,290,14
02,COBLE,1,589,1841,1056,3043,111,15,5,27,0,276,9
06E,EAST GRAHAM,1,923,636,749,1329,599,15,20,57,0,273,15
129,BURLINGTON 9,1,472,718,515,1256,212,0,7,33,1,178,18
06W,WEST GRAHAM,1,473,263,363,569,302,0,8,70,0,142,8
064,GRAHAM 4,1,1281,1590,1443,2942,629,10,25,127,0,522,59
08S,SOUTH NEWLIN,1,332,651,503,1224,72,3,6,18,0,160,3
06S,SOUTH GRAHAM,1,1059,1022,996,1961,618,2,26,70,0,367,33
11,PLEASANT GROVE,1,1481,948,857,1646,1198,9,24,50,0,352,7
12W,WEST BURLINGTON,1,760,571,698,1451,271,4,20,47,0,227,9
125,BURLINGTON 5,1,640,697,642,1450,265,2,14,50,0,177,21
05,FAUCETTE,1,462,1288,739,2142,105,3,3,19,0,215,2
01,PATTERSON,1,645,1818,1121,2987,209,9,15,28,0,324,12
063,GRAHAM 3,1,1332,464,753,947,930,7,30,185,0,437,13
12S,SOUTH BURLINGTON,1,613,198,403,426,487,3,19,72,0,199,8
04,MORTON,1,817,1876,1060,3025,348,9,14,26,1,325,5
1210,BURLINGTON 10,1,806,497,657,1006,604,9,22,54,0,249,16
12E,EAST BURLINGTON,1,785,295,501,610,587,8,17,93,0,249,17
03N2,NORTH BOONE 2,1,257,234,242,682,11,0,0,2,0,37,1
T1T4T5,TAYLORSVILLE #1 #4 #5,2,755,1803,1245,3128,259,7,3,43,0,335,28
M,MILLERS,2,363,720,595,1370,100,2,2,38,0,153,13
UNVERIFIED,UNVERIFIED,2,1110,1482,792,3098,185,9,8,24,0,44,16
G1G2,GWALTNEY #1 #2,2,372,701,453,1375,38,2,3,12,0,96,0
B1,BETHLEHEM #1,2,408,1530,915,2489,21,5,7,15,1,290,25
S1S2,SHARPES #1 #2,2,607,1194,879,2321,90,5,7,28,0,225,4
B2,BETHLEHEM #2,2,522,1737,1108,2916,32,2,3,27,1,358,28
E,ELLENDALE,2,507,1079,726,2058,81,1,0,11,0,156,5
T2T3,TAYLORSVILLE #2 #3,2,695,1116,899,2208,243,4,7,37,0,201,10
LRSL,LITTLE RIVER AND SUGAR LOAF,2,367,914,595,1705,47,2,3,13,0,104,2
W,WITTENBURG,2,252,873,529,1477,5,4,4,9,0,144,11
06A,PRATHERS CREEK,3,415,623,415,1275,4,0,1,13,0,159,1
04,GLADE CREEK,3,325,570,447,1198,4,2,4,14,0,118,2
01,CHERRY LANE,3,279,514,431,1076,8,2,3,11,0,124,0
03A,GAP CIVIL,3,1045,1220,1134,2966,54,4,6,31,0,336,2
UNVERIFIED,UNVERIFIED,3,518,427,264,1152,14,1,1,8,0,33,0
WADES,WADESBORO,4,4216,821,1257,2061,3041,9,4,50,0,1103,26
MM,MORVEN/MCFARLAN,4,906,104,193,254,713,0,2,9,0,220,5
UNVERIFIED,UNVERIFIED,4,2046,340,341,1153,1192,3,2,14,0,361,2
WS,WHITE STORE,4,141,77,86,145,93,1,2,1,0,59,3
LILE,LILESVILLE,4,1407,302,448,760,1007,5,3,10,0,368,4
GULL,GULLEDGE,4,640,158,240,357,443,0,3,8,0,218,9
POLK,POLKTON,4,484,219,236,449,270,0,3,7,0,205,5
BURN,BURNSVILLE,4,434,501,387,868,173,5,1,4,0,267,4
PEAC,PEACHLAND,4,400,429,414,825,115,1,2,8,0,283,9
ANS,ANSONVILLE,4,548,196,234,490,301,1,1,6,0,175,4
12,NORTH FORK,5,108,338,183,583,4,0,0,1,0,39,2
20,WEST JEFFERSON,5,710,1256,956,2644,19,5,6,22,0,217,9
11,NEW RIVER,5,449,787,646,1705,12,0,0,18,0,146,1
06,HELTON,5,100,214,170,449,0,1,0,0,0,32,2
09,JEFFERSON,5,857,1319,1058,2905,31,5,6,23,0,256,8
14,OLD FIELDS,5,531,1024,684,2005,7,3,1,12,0,203,8
UNVERIFIED,UNVERIFIED,5,980,1200,596,2693,27,3,3,12,0,34,4
13,0BIDS,5,221,523,363,1005,6,0,1,4,0,88,3
15,PEAK CREEK,5,166,410,272,769,3,1,1,4,0,68,2
04,ELK,5,108,195,169,435,2,0,0,2,0,33,0
17,PINEY CREEK,5,129,399,213,685,3,0,1,3,0,48,1
16,PINE SWAMP,5,407,928,636,1731,15,3,1,12,0,206,3
02,CLIFTON,5,242,606,367,1120,0,3,0,12,0,80,0
07,HORSE CREEK,5,92,152,102,318,0,0,1,0,0,27,0
03,CRESTON,5,63,265,111,416,1,0,0,0,0,22,0
10,LAUREL,5,42,122,66,211,0,1,0,4,0,14,0
18,POND MOUNTAIN,5,23,76,49,138,1,0,0,0,0,9,0
08,HURRICANE,5,49,75,77,181,0,0,1,1,0,18,0
16,PINEOLA,6,193,767,446,1249,2,2,1,14,0,137,1
02,BANNER ELK,6,423,1099,875,2023,27,5,13,24,0,299,6
UNVERIFIED,UNVERIFIED,6,251,1022,549,1710,35,1,3,13,0,57,3
10,INGALLS,6,65,469,197,650,0,1,0,4,0,76,0
15,NEWLAND # 2,6,93,424,189,626,3,3,3,4,0,67,0
11,LINVILLE,6,76,276,171,472,0,0,4,2,0,44,1
01,ALTAMONT,6,96,536,284,839,6,1,1,5,0,64,0
06,ELK PARK,6,68,463,208,669,0,1,2,5,0,61,1
04,CAREYS FLAT,6,18,52,16,80,0,0,0,0,0,6,0
14,NEWLAND # 1,6,68,555,285,815,1,2,1,4,0,83,2
09,HUGHES,6,28,232,90,316,0,0,1,0,0,33,0
08,HEATON,6,20,203,84,282,0,2,1,2,0,19,1
12,MINNEAPOLIS,6,17,169,87,254,1,0,0,0,0,18,0
17,PLUMTREE,6,34,347,126,451,4,0,0,0,0,52,0
18,PYATTE,6,24,182,104,274,0,0,0,0,0,36,0
13,MONTEZUMA,6,61,296,154,474,0,0,1,1,0,33,2
19,ROARING CREEK,6,10,203,71,255,0,1,0,0,0,28,0
03,BEECH MOUNTAIN,6,26,286,130,391,0,0,0,0,0,51,0
05,CRANBERRY,6,22,200,91,274,0,0,0,5,0,34,0
